,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
16,16,16,1007,121881,743,135082,../epiddrad/clust_86_outfiles/clust_86_stats.txt
17,17,17,1031,139408,681,146659,../epiddrad/clust_86_outfiles/clust_86_stats.txt
18,18,18,920,155968,559,156721,../epiddrad/clust_86_outfiles/clust_86_stats.txt
19,19,19,935,173733,514,166487,../epiddrad/clust_86_outfiles/clust_86_stats.txt
20,20,20,849,190713,432,175127,../epiddrad/clust_86_outfiles/clust_86_stats.txt
21,21,21,783,207156,375,183002,../epiddrad/clust_86_outfiles/clust_86_stats.txt
22,22,22,724,223084,331,190284,../epiddrad/clust_86_outfiles/clust_86_stats.txt
23,23,23,647,237965,251,196057,../epiddrad/clust_86_outfiles/clust_86_stats.txt
24,24,24,615,252725,246,201961,../epiddrad/clust_86_outfiles/clust_86_stats.txt
25,25,25,581,267250,196,206861,../epiddrad/clust_86_outfiles/clust_86_stats.txt
26,26,26,475,279600,151,210787,../epiddrad/clust_86_outfiles/clust_86_stats.txt
27,27,27,414,290778,133,214378,../epiddrad/clust_86_outfiles/clust_86_stats.txt
28,28,28,354,300690,96,217066,../epiddrad/clust_86_outfiles/clust_86_stats.txt
29,29,29,316,309854,106,220140,../epiddrad/clust_86_outfiles/clust_86_stats.txt
30,30,30,293,318644,73,222330,../epiddrad/clust_86_outfiles/clust_86_stats.txt
31,31,31,232,325836,42,223632,../epiddrad/clust_86_outfiles/clust_86_stats.txt
32,32,32,196,332108,35,224752,../epiddrad/clust_86_outfiles/clust_86_stats.txt
33,33,33,156,337256,28,225676,../epiddrad/clust_86_outfiles/clust_86_stats.txt
34,34,34,121,341370,22,226424,../epiddrad/clust_86_outfiles/clust_86_stats.txt
35,35,35,85,344345,11,226809,../epiddrad/clust_86_outfiles/clust_86_stats.txt
36,36,36,93,347693,7,227061,../epiddrad/clust_86_outfiles/clust_86_stats.txt
37,37,37,44,349321,4,227209,../epiddrad/clust_86_outfiles/clust_86_stats.txt
38,38,38,30,350461,4,227361,../epiddrad/clust_86_outfiles/clust_86_stats.txt
39,39,39,21,351280,0,227361,../epiddrad/clust_86_outfiles/clust_86_stats.txt
40,40,40,9,351640,1,227401,../epiddrad/clust_86_outfiles/clust_86_stats.txt
0,0,0,85,0,1171,0,../epiddrad/clust_87_outfiles/clust_87_stats.txt
1,1,1,196,196,1037,1037,../epiddrad/clust_87_outfiles/clust_87_stats.txt
2,2,2,252,700,1049,3135,../epiddrad/clust_87_outfiles/clust_87_stats.txt
3,3,3,309,1627,977,6066,../epiddrad/clust_87_outfiles/clust_87_stats.txt
4,4,4,410,3267,1029,10182,../epiddrad/clust_87_outfiles/clust_87_stats.txt
5,5,5,481,5672,1130,15832,../epiddrad/clust_87_outfiles/clust_87_stats.txt
6,6,6,603,9290,1139,22666,../epiddrad/clust_87_outfiles/clust_87_stats.txt
7,7,7,724,14358,1149,30709,../epiddrad/clust_87_outfiles/clust_87_stats.txt
